Hydrogen 1 1.0078 8.99E-05 14.01 20.28 H
Helium 2 4.0026 0.00017846 0.95 4.25 He
Lithium 3 6.94 0.534 453.65 1615.15 Li
Berylium 4 9.0121 1.848 1551.15 3243.15 Be
Boron 5 10.811 2.34 2348.95 4199.95 B
Carbon 6 12.0107 2.26 3823.15 5100.15 C
Nitrogen 7 14.0067 0.001251 63.25 77.35 N
Oxygen 8 15.994 0.0014289 54.36 90.19 O
Fluorine 9 18.9984 0.001696 53.48 85.04 F
Neon 10 20.1797 0.0009002 24.48 27.1 N
Sodium 11 22.9897 0.971 370.95 1156.09 Na
Magnesium 12 24.305 1.738 923.15 1363.15 Mg
Aluminium 13 26.9815 2.6989 933.15 2791.97 Al
Silicon 14 28.0855 2.33 1688 3538.15 Si
Phosphorus 15 30.9737 2.82 317.3 533.65 P
Sulphur 16 32.065 2.07 385.95 717.82 S
Chlorine 17 35.45 0.003214 172.17 238.55 Cl
Argon 18 39.94 0.001784 83.81 87.3 Ar
Potassium 19 39.0983 0.856 336.53 1031.95 K
Calcium 20 40.078 1.55 1115.15 1757.15 Ca
Scandium 21 44.9559 2.99 1814.15 3109.15 Sc
Titanium 22 47.867 4.54 1933.15 3560.15 Ti
Vanadium 23 50.9415 6.11 2183.15 3680.15 V
Chromium 24 51.9961 7.19 2180.15 2945.15 Cr
Manganese 25 54.93 7.21 1518.15 2334.15 Mn
Iron 26 55.845 7.88 1812.15 3135.15 Fe
Cobalt 27 58.933 8.9 1766.15 3143.15 Co
Nickel 28 58.693 8.902 1728.15 3188.15 Ni
Copper 29 63.54 8.92 1357.77 2835.15 Cu
Zinc 30 65.409 7.133 692.65 1179.15 Zn
Gallium 31 69.723 5.91 302.95 2476.15 Ga
Germanium 32 72.64 5.323 1210.65 3106.15 Ge
Arsenic 33 74.92 5.72 1089.95 886.15 As
Selenium 34 78.96 4.79 490.15 957.95 Se
Bromine 35 79.9 3.14 265.9 331.95 Br
Krypton 36 83.798 0.003749 115.788 119.75 Kr
Rubidium 37 85.4667 1.53 312.47 960.35 Rb
Strontium 38 87.62 2.54 1050.15 1655.15 Sr
Yttrium 39 88.905 4.47 1799.15 3611.15 Yt
Zirconium 40 91.22 6.51 2128.15 4682.15 Zr
Niobium 41 92.9 8.58 2750.15 5200.15 Nb
Molybdenum 42 95.94 10.22 2896.15 4912.15 Mo
Technetium 43 98.906 11.49 2430.15 3538.15 Tc
Ruthenium 44 101.07 12.41 2607.15 4350.15 Ru
Rhodium 45 102.905 12.41 2237.15 4000.15 Rh
Palladium 46 106.42 12.02 1828.15 3236.15 Pd
Silver 47 107.868 10.49 1234.95 2435.15 Ag
Cadmium 48 112.411 8.64 592.25 1039.95 Cd
Indium 49 114.818 7.31 429.75 2345.15 In
Tin 50 118.71 7.29 505.08 2875.15 Sn
Antimony 51 121.76 6.69 303.9 1860.15 Sb
Tellurium 52 127.6 6.25 722.7 1260.95 Te
Iodine 53 126.904 4.94 386.7 457.5 I
Xenon 54 131.293 0.005894 161.35 165.05 Xe
Caesium 55 132.905 1.9 301.6 943.95 Cs
Barium 56 137.32 3.5 1000.15 2170.15 Ba
Lanthanum 57 138.905 6.16 1193.15 3737.15 La
Cerium 58 140.116 6.77 1068.15 3716.15 Ce
Praseodymium 59 140.904 6.773 1204.15 3785.15 Pr
Neodymium 60 144.242 7 1283.15 3347.15 Nd
Promethium 61 144.912 7.2 1440.15 3272.15 Pm
Samerium 62 150.36 7.54 1345.15 2067.15 Sm
Europium 63 151.964 5.25 1095.15 1870.15 Eu
Gadolinium 64 157.25 7.89 1584.15 3545.15 Gd
Terbium 65 158.925 8.25 1633.15 3500.15 Tb
Dysprosium 66 162.5 8.59 1682.15 2840.15 Dy
Holmium 67 164.93 8.78 1743.15 2968.15 Ho
Erbium 68 167.259 9.05 1802.15 3140.15 Er
Thulium 69 168.934 9.32 1818.15 2220.15 T
Ytterbium 70 173.04 6.97 1097.15 1466.15 Y
Lutetium 71 174.967 9.84 1936.15 3668.15 Lu
Hafnium 72 178.49 13.31 2506.15 4875.15 Hf
Tantalum 73 180.947 16.68 3290.15 5731.15 Ta
Tungsten 74 183.84 19.26 3695.15 5828.15 W
Rhenium 75 186.207 21.03 3453.15 5900.15 Re
Osmium 76 190.23 3306 3306.15 5870.15 Os
Iridium 77 192.217 22.562 2683.15 4403.15 Ir
Platinum 78 195.084 21.45 2041.15 4098.15 Pt
Gold 79 196.966 19.3 1337.58 2973.15 Au
Mercury 80 200.59 13.55 234.26 629.85 Hg
Thallium 81 204.383 11.85 576.75 1746.15 Tl
Lead 82 207.2 11.34 600.55 2022.15 Pb
Bismuth 83 208.98 9.8 544.45 1833.15 Bi
Polonium 84 208.9824 9.2 527.15 1235.15 Po
Astatine 85 209.987 6.4 503.15 609.95 At
Radon 86 222.0176 0.0098 202 211.45 Rn
Francium 87 223.0197 2.48 281.15 949.95 Fr
Radium 88 226.0245 5.5 969.15 2010.15 Ra
Actinium 89 227.0278 10.07 1323.15 3470.15 Ac
Thorium 90 232.038 11.72 2023.15 5060.15 Th
Protactinium 91 231.0358 15.37 2113.15 4300.15 Pa
Uranium 92 238.289 19.05 1405.55 4404.15 U
Neptunium 93 237.0482 20.48 917.15 4175.15 Np
Plutonium 94 244.0642 19.72 914.15 3505.15 Pu
Americium 95 243.0614 13.67 1449.15 2880.15 Am
Curium 96 247.0703 13.51 1618.15 3383.15 Cm
Berkelium 97 247.0703 13.25 1259.15 2900.15 Bk
Californium 98 251.0796 15.1 1173.15 1745.15 Cf
Einsteinium 99 252.0829 13.5 1133.15 1685.15 Es
Fermium 100 257.0951 19 1798.15 2349.15 Fm
Mendelevium 101 258.0951 0 1098.15 0 Md
Nobelium 102 259.1009 0 1098.15 0 No
Lawrencium 103 266.11933 0 1898.15 0 Lr
